iter	RMSE
0	0.8842714156
1	0.8820163578
2	0.8800966666
3	0.8784221552
4	0.8770796948
5	0.8759324307
6	0.8750072314
7	0.874142251
8	0.8735057619
9	0.8728397516
10	0.8723071266
11	0.8718358749
12	0.8714114257
13	0.8710328199
14	0.8707387665
15	0.8704640378
16	0.8702015122
17	0.869956158
18	0.8697526487
19	0.8695478826
20	0.8693839549
21	0.8692335305
22	0.8691121788
23	0.8689821837
24	0.8688623197
25	0.8687407383
26	0.8686432492
27	0.8685248535
28	0.8684383545
29	0.8683577242
30	0.8682545712
31	0.8681651585
32	0.8680788858
33	0.8680064365
34	0.8679415
35	0.8678638368
36	0.8678006109
37	0.8677296839
38	0.8676723283
39	0.8676018544
40	0.8675307792
41	0.8674742756
42	0.8674177686
43	0.8673658721
44	0.867323952
45	0.8672731752
46	0.8672354551
47	0.8671911315
48	0.8671523889
49	0.8671001862
50	0.86704129
51	0.8669997544
52	0.8669373298
53	0.8669087204
54	0.8668694187
55	0.8668376856
56	0.86679806
57	0.8667513814
58	0.8666917799
59	0.866654903
60	0.8666098853
61	0.8665776439
62	0.8665341172
63	0.8665062195
64	0.8664646782
65	0.8664287939
66	0.8663898011
67	0.8663637602
68	0.8663232423
69	0.8662764196
70	0.8662458982
71	0.8662111603
72	0.866174823
73	0.8661420345
74	0.8661053908
75	0.8660649081
76	0.8660392327
77	0.8660089783
78	0.8659833119
79	0.8659444146
80	0.865911665
81	0.8658791189
82	0.8658446525
83	0.8658099164
84	0.8657832811
85	0.8657479216
86	0.865716031
87	0.8656827354
88	0.8656537769
89	0.8656219589
90	0.8655856427
91	0.8655595117
92	0.8655298759
93	0.8654997553
94	0.8654702685
95	0.8654290245
96	0.8654084199
97	0.8653741123
98	0.8653515208
99	0.8653244862
100	0.8652998003
101	0.8652719597
102	0.8652479688
103	0.8652211036
104	0.8651794272
105	0.865148371
106	0.8651167242
107	0.8650967568
108	0.8650678169
109	0.8650333227
110	0.8650006288
111	0.8649726658
112	0.8649457653
113	0.8649055055
114	0.864883657
115	0.8648425286
116	0.8648162671
117	0.8647845268
118	0.8647650066
119	0.8647432249
120	0.8647126821
121	0.8646747831
122	0.8646380567
123	0.8646027658
124	0.8645697221
125	0.8645320491
126	0.8644985459
127	0.864462843
128	0.8644313785
129	0.8643983017
130	0.8643650435
131	0.8643399157
132	0.8643056293
133	0.8642690382
134	0.864235763
135	0.8642011873
136	0.8641689575
137	0.8641364084
138	0.8641007881
139	0.8640724767
140	0.8640480784
141	0.8640166608
142	0.8639826297
143	0.8639348143
144	0.8639008932
145	0.8638716669
146	0.8638252802
147	0.8637900534
148	0.8637505746
149	0.8637233851
150	0.8636919211
151	0.8636561584
152	0.8636213759
153	0.863584272
154	0.8635565186
155	0.8635222523
156	0.8634924389
157	0.8634615889
158	0.8634320864
159	0.8633972665
160	0.863353743
161	0.8633161675
162	0.8632801858
163	0.8632573076
164	0.8632188301
165	0.863182248
166	0.8631512081
167	0.8631178065
168	0.8630865447
169	0.863060476
