iter	Passed	Remaining
0	247	246964
1	302	150895
2	356	118486
3	411	102573
4	464	92449
5	522	86484
6	588	83514
7	663	82314
8	732	80694
9	817	80918
10	888	79897
11	958	78954
12	1023	77739
13	1098	77380
14	1163	76422
15	1223	75265
16	1290	74596
17	1354	73873
18	1412	72905
19	1476	72350
20	1544	71980
21	1606	71432
22	1684	71574
23	1755	71401
24	1815	70808
25	1871	70098
26	1975	71182
27	2039	70796
28	2090	69998
29	2176	70387
30	2239	70009
31	2295	69441
32	2357	69095
33	2417	68673
34	2471	68154
35	2532	67815
36	2593	67506
37	2651	67116
38	2701	66578
39	2758	66212
40	2816	65870
41	2866	65383
42	2919	64970
43	2974	64635
44	3037	64456
45	3097	64240
46	3159	64060
47	3230	64068
48	3313	64300
49	3378	64184
50	3444	64092
51	3506	63919
52	3570	63793
53	3625	63515
54	3683	63295
55	3730	62881
56	3791	62721
57	3865	62773
58	3927	62640
59	3996	62616
60	4057	62458
61	4109	62167
62	4162	61912
63	4229	61853
64	4289	61695
65	4354	61618
66	4408	61385
67	4462	61164
68	4516	60943
69	4567	60687
70	4629	60576
71	4686	60408
72	4739	60183
73	4788	59919
74	4847	59788
75	4906	59649
76	4960	59463
77	5011	59240
78	5061	59005
79	5115	58829
80	5168	58637
81	5223	58478
82	5278	58321
83	5332	58144
84	5388	58008
85	5450	57932
86	5522	57949
87	5596	57999
88	5682	58161
89	5751	58156
90	5816	58097
91	5880	58035
92	5957	58097
93	6022	58043
94	6076	57884
95	6128	57705
96	6174	57481
97	6240	57435
98	6290	57252
99	6338	57049
100	6392	56895
101	6448	56773
102	6501	56619
103	6545	56393
104	6611	56352
105	6674	56295
106	6724	56118
107	6777	55976
108	6848	55983
109	6906	55880
110	6962	55765
111	7012	55598
112	7066	55472
113	7123	55362
114	7168	55165
115	7222	55043
116	7272	54887
117	7325	54757
118	7372	54579
119	7419	54410
120	7466	54243
121	7527	54171
122	7579	54041
123	7633	53930
124	7684	53790
125	7742	53705
126	7790	53551
127	7835	53381
128	7894	53301
129	7963	53296
130	8022	53218
131	8071	53079
132	8130	53000
133	8202	53009
134	8276	53027
135	8334	52946
136	8389	52846
137	8444	52747
138	8503	52673
139	8573	52664
140	8643	52660
141	8694	52535
142	8740	52381
143	8796	52287
144	8848	52175
145	8900	52062
146	8959	51989
147	9020	51929
148	9078	51850
149	9136	51775
150	9185	51647
151	9239	51546
152	9301	51495
153	9351	51370
154	9397	51232
155	9448	51116
156	9504	51033
157	9553	50909
158	9606	50809
159	9658	50705
160	9714	50626
161	9765	50515
162	9824	50446
163	9893	50431
164	9951	50359
165	10011	50297
166	10056	50163
167	10108	50063
168	10159	49955
169	10209	49844
170	10276	49820
171	10345	49802
172	10398	49708
173	10452	49619
174	10501	49507
175	10545	49371
176	10634	49445
177	10693	49381
178	10748	49297
179	10808	49237
180	10853	49111
181	10911	49040
182	10973	48991
183	11033	48930
184	11095	48879
185	11153	48811
186	11208	48728
187	11264	48651
188	11330	48621
189	11385	48536
190	11450	48498
191	11506	48424
192	11555	48319
193	11608	48229
194	11672	48188
195	11737	48148
196	11799	48094
197	11856	48023
198	11917	47971
199	11970	47882
200	12021	47788
201	12085	47744
202	12143	47677
203	12201	47607
204	12251	47513
205	12301	47415
206	12350	47314
207	12400	47216
208	12454	47136
209	12500	47026
210	12563	46979
211	12613	46883
212	12666	46800
213	12715	46702
214	12774	46640
215	12825	46551
216	12883	46486
217	12932	46391
218	12979	46288
219	13026	46184
220	13077	46096
221	13126	46002
222	13201	45999
223	13263	45948
224	13310	45846
225	13366	45775
226	13421	45702
227	13465	45594
228	13519	45517
229	13578	45457
230	13629	45372
231	13679	45284
232	13734	45213
233	13789	45141
234	13848	45081
235	13917	45054
236	14011	45108
237	14081	45083
238	14149	45054
239	14201	44970
240	14253	44889
241	14313	44831
242	14382	44803
243	14444	44754
244	14496	44673
245	14552	44604
246	14604	44522
247	14674	44498
248	14731	44431
249	14799	44398
250	14867	44364
251	14923	44296
252	14973	44210
253	15024	44128
254	15081	44062
255	15130	43971
256	15187	43908
257	15240	43831
258	15294	43758
259	15349	43687
260	15400	43605
261	15447	43512
262	15517	43483
263	15579	43433
264	15640	43378
265	15698	43317
266	15744	43223
267	15793	43136
268	15845	43058
269	15899	42987
270	15954	42919
271	16004	42835
272	16059	42765
273	16119	42711
274	16168	42627
275	16232	42579
276	16289	42517
277	16353	42472
278	16420	42434
279	16472	42358
280	16536	42311
281	16595	42254
282	16652	42190
283	16711	42131
284	16766	42062
285	16821	41996
286	16892	41965
287	16957	41922
288	17019	41872
289	17074	41803
290	17135	41750
291	17186	41670
292	17247	41617
293	17307	41561
294	17372	41518
295	17426	41446
296	17476	41366
297	17548	41339
298	17607	41280
299	17675	41243
300	17728	41169
301	17788	41113
302	17854	41072
303	17917	41022
304	17974	40957
305	18040	40916
306	18094	40846
307	18146	40770
308	18216	40736
309	18282	40694
310	18342	40637
311	18404	40585
312	18469	40539
313	18525	40472
314	18583	40411
315	18652	40373
316	18716	40326
317	18781	40278
318	18841	40223
319	18889	40141
320	18944	40071
321	19019	40047
322	19086	40005
323	19140	39934
324	19200	39878
325	19256	39812
326	19322	39767
327	19384	39715
328	19446	39660
329	19509	39610
330	19557	39528
331	19612	39461
332	19672	39403
333	19741	39365
334	19809	39322
335	19887	39302
336	19952	39253
337	20011	39193
338	20070	39133
339	20122	39062
340	20180	39000
341	20240	38942
342	20299	38883
343	20360	38827
344	20419	38766
345	20495	38740
346	20552	38677
347	20616	38627
348	20668	38554
349	20734	38507
350	20796	38452
351	20852	38387
352	20915	38335
353	20975	38278
354	21039	38226
355	21097	38165
356	21160	38113
357	21206	38028
358	21263	37965
359	21326	37914
360	21405	37889
361	21473	37845
362	21522	37768
363	21597	37736
364	21652	37669
365	21706	37600
366	21769	37548
367	21825	37482
368	21879	37414
369	21931	37342
370	21982	37268
371	22030	37191
372	22081	37117
373	22135	37049
374	22194	36991
375	22240	36909
376	22288	36831
377	22342	36765
378	22397	36699
379	22450	36629
380	22494	36546
381	22559	36496
382	22611	36426
383	22660	36351
384	22709	36275
385	22766	36213
386	22823	36152
387	22871	36075
388	22918	35998
389	22966	35922
390	23026	35864
391	23076	35792
392	23138	35738
393	23201	35685
394	23249	35609
395	23298	35535
396	23342	35455
397	23390	35380
398	23455	35330
399	23503	35254
400	23555	35186
401	23616	35131
402	23674	35070
403	23737	35018
404	23786	34945
405	23841	34881
406	23896	34816
407	23941	34738
408	23998	34676
409	24074	34644
410	24156	34617
411	24205	34545
412	24251	34468
413	24309	34409
414	24358	34337
415	24408	34266
416	24463	34202
